Job Desc,Profile,Count,Matching title,Not matching title,Matching languages,Not matching languages,Matching Skills,Not matching Skills,Matching duration,Not matching duration,Matching work regime,Not matching work regime,Matching location,Not matching location,Matching industry,Not matching industry,Matching daily rate,Not matching daily rate,Matching company size,Not matching company size,Matching tech objectives,Not matching tech objectives,Matching availability,Not matching availability,Matching mission constraint,Not matching mision constraint
 ,Profile 43,15,Machine learning Engineer, ,English ,Azerbaijani,java script 2 ,mongodb 3 r 2 sas 3 hadoop 4 ,241 days, , ,Part-time,Remote, , ,Government,850, , ,Small (10 - 50 employees),c ,data modelling artificial intelligence , ,Availability, ,Expertise constraint
 ,Profile 39,15,Machine learning Engineer, ,English ,Azerbaijani,java script 2 ,mongodb 3 r 2 sas 3 hadoop 4 , ,241 days, ,Part-time,Remote, , ,Government,650, , ,Medium (50-250 employees),artificial intelligence ,data modelling c ,Availability, , ,Expertise constraint
 ,Profile 3,15, ,Machine learning Engineer,English ,Azerbaijani,r 2 ,java script 2 mongodb 3 sas 3 hadoop 4 ,241 days, ,Part-time, ,Remote, , ,Government,850, , ,Medium (50-250 employees),,data modelling c artificial intelligence ,Availability, , ,Expertise constraint
 ,Profile 18,15, ,Machine learning Engineer,English ,Azerbaijani,r 2 ,java script 2 mongodb 3 sas 3 hadoop 4 , ,241 days,Part-time, ,Remote, , ,Government,750, , ,Medium (50-250 employees),data modelling ,c artificial intelligence ,Availability, , ,Expertise constraint
 ,Profile 10,14, ,Machine learning Engineer,English ,Azerbaijani,java script 2 ,mongodb 3 r 2 sas 3 hadoop 4 , ,241 days,Part-time, ,Remote, , ,Government, ,950, ,Medium (50-250 employees),data modelling ,c artificial intelligence ,Availability, , ,Expertise constraint
 ,Profile 49,13, ,Machine learning Engineer,English ,Azerbaijani,sas 3 ,java script 2 mongodb 3 r 2 hadoop 4 ,241 days, , ,Part-time,Remote, , ,Government,650, , ,Small (10 - 50 employees),,data modelling c artificial intelligence , ,Availability, ,Expertise constraint
 ,Profile 37,13, ,Machine learning Engineer,English ,Azerbaijani,java script 2 ,mongodb 3 r 2 sas 3 hadoop 4 , ,241 days,Part-time, ,Remote, , ,Government,650, , ,Medium (50-250 employees),,data modelling c artificial intelligence , ,Availability, ,Expertise constraint
 ,Profile 35,13, ,Machine learning Engineer,English ,Azerbaijani,sas 3 ,java script 2 mongodb 3 r 2 hadoop 4 , ,241 days,Part-time, ,Remote, , ,Government,800, , ,Small (10 - 50 employees),,data modelling c artificial intelligence , ,Availability, ,Expertise constraint
 ,Profile 25,13, ,Machine learning Engineer,English ,Azerbaijani,r 2 ,java script 2 mongodb 3 sas 3 hadoop 4 , ,241 days, ,Part-time,Remote, , ,Government,650, , ,Medium (50-250 employees),,data modelling c artificial intelligence ,Availability, , ,Expertise constraint
 ,Profile 50,12,Machine learning Engineer, ,English ,Azerbaijani,java script 2 ,mongodb 3 r 2 sas 3 hadoop 4 , ,241 days, ,Part-time,Remote, , ,Government, ,900, ,Medium (50-250 employees),,data modelling c artificial intelligence , ,Availability, ,Expertise constraint
 ,Profile 42,12, ,Machine learning Engineer,English ,Azerbaijani,hadoop 4 ,java script 2 mongodb 3 r 2 sas 3 , ,241 days, ,Part-time,Remote, , ,Government,650, , ,Large (250+ employees),,data modelling c artificial intelligence , ,Availability, ,Expertise constraint
 ,Profile 17,11, ,Machine learning Engineer,English ,Azerbaijani,java script 2 ,mongodb 3 r 2 sas 3 hadoop 4 , ,241 days, ,Part-time,Remote, , ,Government, ,950,Micro (1-10 employees), ,,data modelling c artificial intelligence , ,Availability, ,Expertise constraint
 ,Profile 7,10,Machine learning Engineer, ,English ,Azerbaijani,,java script 2 mongodb 3 r 2 sas 3 hadoop 4 ,241 days, ,Part-time, ,Remote, , ,Government,550, , ,Medium (50-250 employees),,data modelling c artificial intelligence , ,Availability, ,Expertise constraint
 ,Profile 6,10, ,Machine learning Engineer,English ,Azerbaijani,,java script 2 mongodb 3 r 2 sas 3 hadoop 4 ,241 days, ,Part-time, ,Remote, ,Government, ,700, , ,Small (10 - 50 employees),,data modelling c artificial intelligence , ,Availability, ,Expertise constraint
 ,Profile 5,10,Machine learning Engineer, ,English ,Azerbaijani,,java script 2 mongodb 3 r 2 sas 3 hadoop 4 , ,241 days, ,Part-time,Remote, , ,Government,800, , ,Medium (50-250 employees),data modelling ,c artificial intelligence ,Availability, , ,Expertise constraint
 ,Profile 44,10, ,Machine learning Engineer,English ,Azerbaijani,,java script 2 mongodb 3 r 2 sas 3 hadoop 4 ,241 days, ,Part-time, ,Remote, , ,Government,800, , ,Large (250+ employees),,data modelling c artificial intelligence ,Availability, , ,Expertise constraint
 ,Profile 36,10,Machine learning Engineer, ,English ,Azerbaijani,,java script 2 mongodb 3 r 2 sas 3 hadoop 4 , ,241 days,Part-time, ,Remote, , ,Government,550, , ,Medium (50-250 employees),,data modelling c artificial intelligence ,Availability, , ,Expertise constraint
 ,Profile 32,10,Machine learning Engineer, ,English ,Azerbaijani,,java script 2 mongodb 3 r 2 sas 3 hadoop 4 ,241 days, ,Part-time, ,Remote, , ,Government,500, , ,Large (250+ employees),,data modelling c artificial intelligence , ,Availability, ,Expertise constraint
 ,Profile 28,10,Machine learning Engineer, ,English ,Azerbaijani,,java script 2 mongodb 3 r 2 sas 3 hadoop 4 , ,241 days,Part-time, ,Remote, , ,Government,750, , ,Large (250+ employees),,data modelling c artificial intelligence ,Availability, , ,Expertise constraint
 ,Profile 23,10,Machine learning Engineer, ,English ,Azerbaijani,,java script 2 mongodb 3 r 2 sas 3 hadoop 4 ,241 days, , ,Part-time,Remote, , ,Government,850, , ,Medium (50-250 employees),,data modelling c artificial intelligence ,Availability, , ,Expertise constraint
 ,Profile 48,9, ,Machine learning Engineer,English ,Azerbaijani,,java script 2 mongodb 3 r 2 sas 3 hadoop 4 , ,241 days,Part-time, ,Remote, , ,Government,750, , ,Small (10 - 50 employees),,data modelling c artificial intelligence ,Availability, , ,Expertise constraint
 ,Profile 45,9, ,Machine learning Engineer,English ,Azerbaijani,,java script 2 mongodb 3 r 2 sas 3 hadoop 4 , ,241 days,Part-time, ,Remote, , ,Government,750, , ,Large (250+ employees),c ,data modelling artificial intelligence , ,Availability, ,Expertise constraint
 ,Profile 34,9,Machine learning Engineer, ,English ,Azerbaijani,,java script 2 mongodb 3 r 2 sas 3 hadoop 4 ,241 days, ,Part-time, ,Remote, , ,Government, ,950, ,Large (250+ employees),,data modelling c artificial intelligence , ,Availability, ,Expertise constraint
 ,Profile 24,9, ,Machine learning Engineer,English ,Azerbaijani,,java script 2 mongodb 3 r 2 sas 3 hadoop 4 , ,241 days,Part-time, ,Remote, , ,Government,850, , ,Medium (50-250 employees),,data modelling c artificial intelligence ,Availability, , ,Expertise constraint
 ,Profile 22,9, ,Machine learning Engineer,English ,Azerbaijani,,java script 2 mongodb 3 r 2 sas 3 hadoop 4 , ,241 days, ,Part-time,Remote, ,Government, ,550, ,Micro (1-10 employees), ,,data modelling c artificial intelligence ,Availability, , ,Expertise constraint
 ,Profile 21,9, ,Machine learning Engineer,English ,Azerbaijani,,java script 2 mongodb 3 r 2 sas 3 hadoop 4 , ,241 days,Part-time, ,Remote, , ,Government,700, ,Micro (1-10 employees), ,c ,data modelling artificial intelligence , ,Availability, ,Expertise constraint
 ,Profile 15,9, ,Machine learning Engineer,English ,Azerbaijani,,java script 2 mongodb 3 r 2 sas 3 hadoop 4 , ,241 days,Part-time, ,Remote, , ,Government,550, , ,Large (250+ employees),,data modelling c artificial intelligence ,Availability, , ,Expertise constraint
 ,Profile 9,8, ,Machine learning Engineer,English ,Azerbaijani,,java script 2 mongodb 3 r 2 sas 3 hadoop 4 ,241 days, , ,Part-time,Remote, , ,Government,750, , ,Medium (50-250 employees),,data modelling c artificial intelligence , ,Availability, ,Expertise constraint
 ,Profile 41,8, ,Machine learning Engineer,English ,Azerbaijani,,java script 2 mongodb 3 r 2 sas 3 hadoop 4 ,241 days, , ,Part-time,Remote, , ,Government, ,950, ,Small (10 - 50 employees),,data modelling c artificial intelligence ,Availability, , ,Expertise constraint
 ,Profile 40,8,Machine learning Engineer, ,English ,Azerbaijani,,java script 2 mongodb 3 r 2 sas 3 hadoop 4 , ,241 days, ,Part-time,Remote, , ,Government,650, , ,Medium (50-250 employees),,data modelling c artificial intelligence , ,Availability, ,Expertise constraint
 ,Profile 4,8, ,Machine learning Engineer,English ,Azerbaijani,,java script 2 mongodb 3 r 2 sas 3 hadoop 4 , ,241 days,Part-time, ,Remote, , ,Government,700, , ,Large (250+ employees),,data modelling c artificial intelligence , ,Availability, ,Expertise constraint
 ,Profile 38,8, ,Machine learning Engineer,English ,Azerbaijani,,java script 2 mongodb 3 r 2 sas 3 hadoop 4 , ,241 days,Part-time, ,Remote, , ,Government,600, ,Micro (1-10 employees), ,,data modelling c artificial intelligence , ,Availability, ,Expertise constraint
 ,Profile 31,8, ,Machine learning Engineer,English ,Azerbaijani,,java script 2 mongodb 3 r 2 sas 3 hadoop 4 ,241 days, , ,Part-time,Remote, , ,Government,600, ,Micro (1-10 employees), ,,data modelling c artificial intelligence , ,Availability, ,Expertise constraint
 ,Profile 30,8, ,Machine learning Engineer,English ,Azerbaijani,,java script 2 mongodb 3 r 2 sas 3 hadoop 4 , ,241 days,Part-time, ,Remote, , ,Government,750, ,Micro (1-10 employees), ,,data modelling c artificial intelligence , ,Availability, ,Expertise constraint
 ,Profile 29,8,Machine learning Engineer, ,English ,Azerbaijani,,java script 2 mongodb 3 r 2 sas 3 hadoop 4 , ,241 days,Part-time, ,Remote, , ,Government, ,900, ,Small (10 - 50 employees),,data modelling c artificial intelligence , ,Availability, ,Expertise constraint
 ,Profile 27,8, ,Machine learning Engineer,English ,Azerbaijani,,java script 2 mongodb 3 r 2 sas 3 hadoop 4 , ,241 days, ,Part-time,Remote, , ,Government,600, , ,Medium (50-250 employees),,data modelling c artificial intelligence ,Availability, , ,Expertise constraint
 ,Profile 26,8, ,Machine learning Engineer,English ,Azerbaijani,,java script 2 mongodb 3 r 2 sas 3 hadoop 4 ,241 days, ,Part-time, ,Remote, , ,Government, ,950, ,Small (10 - 50 employees),,data modelling c artificial intelligence , ,Availability, ,Expertise constraint
 ,Profile 19,8,Machine learning Engineer, ,English ,Azerbaijani,,java script 2 mongodb 3 r 2 sas 3 hadoop 4 ,241 days, , ,Part-time,Remote, , ,Government, ,1000,Micro (1-10 employees), ,,data modelling c artificial intelligence , ,Availability, ,Expertise constraint
 ,Profile 16,8, ,Machine learning Engineer,English ,Azerbaijani,,java script 2 mongodb 3 r 2 sas 3 hadoop 4 , ,241 days, ,Part-time,Remote, , ,Government,500, , ,Small (10 - 50 employees),artificial intelligence ,data modelling c , ,Availability, ,Expertise constraint
 ,Profile 14,8, ,Machine learning Engineer,English ,Azerbaijani,,java script 2 mongodb 3 r 2 sas 3 hadoop 4 , ,241 days, ,Part-time,Remote, , ,Government,650, , ,Medium (50-250 employees),,data modelling c artificial intelligence ,Availability, , ,Expertise constraint
 ,Profile 1,8, ,Machine learning Engineer,English ,Azerbaijani,,java script 2 mongodb 3 r 2 sas 3 hadoop 4 , ,241 days, ,Part-time,Remote, , ,Government,600, , ,Large (250+ employees),,data modelling c artificial intelligence ,Availability, , ,Expertise constraint
 ,Profile 2,7, ,Machine learning Engineer,English ,Azerbaijani,,java script 2 mongodb 3 r 2 sas 3 hadoop 4 , ,241 days, ,Part-time,Remote, , ,Government,600, ,Micro (1-10 employees), ,,data modelling c artificial intelligence , ,Availability, ,Expertise constraint
 ,Profile 12,7, ,Machine learning Engineer,English ,Azerbaijani,,java script 2 mongodb 3 r 2 sas 3 hadoop 4 , ,241 days, ,Part-time,Remote, , ,Government,700, , ,Large (250+ employees),,data modelling c artificial intelligence , ,Availability, ,Expertise constraint
 ,Profile 8,6, ,Machine learning Engineer,English ,Azerbaijani,,java script 2 mongodb 3 r 2 sas 3 hadoop 4 , ,241 days, ,Part-time,Remote, , ,Government, ,950, ,Medium (50-250 employees),,data modelling c artificial intelligence , ,Availability, ,Expertise constraint
 ,Profile 46,6, ,Machine learning Engineer,English ,Azerbaijani,,java script 2 mongodb 3 r 2 sas 3 hadoop 4 , ,241 days, ,Part-time,Remote, , ,Government, ,950, ,Small (10 - 50 employees),,data modelling c artificial intelligence , ,Availability, ,Expertise constraint
 ,Profile 13,6, ,Machine learning Engineer,English ,Azerbaijani,,java script 2 mongodb 3 r 2 sas 3 hadoop 4 , ,241 days, ,Part-time,Remote, , ,Government, ,1000, ,Medium (50-250 employees),,data modelling c artificial intelligence , ,Availability, ,Expertise constraint
Job desc 4,Profile 7,23, ,Data Analyst,English ,Armenian,angular 1 angular 1 ,docker 5 python 5 aws 4 c 3 , ,649 days,Part-time, , ,Liege 175.98891633424842, ,Food & Beverage,550, ,Medium (50-250 employees), ,,django spark power bi ,Availability, ,Time constraint, 
 ,Profile 47,23, ,Data Analyst,English Armenian , ,c 3 ,docker 5 angular 1 python 5 aws 4 ,649 days, , ,Part-time, ,Dartford 210.6780861210707, ,Food & Beverage,700, , ,Micro (1-10 employees),,django spark power bi ,Availability, ,Time constraint, 
 ,Profile 15,21,Data Analyst, ,English ,Armenian,python 5 ,docker 5 angular 1 aws 4 c 3 ,649 days, ,Part-time, , ,Canary Wharf 227.75636570355053, ,Food & Beverage,550, , ,Large (250+ employees),spark ,django power bi ,Availability, ,Time constraint, 
 ,Profile 29,19, ,Data Analyst,English ,Armenian,python 5 ,docker 5 angular 1 aws 4 c 3 , ,649 days,Part-time, , ,Hatfield 246.8754067996801, ,Food & Beverage,900, , ,Small (10 - 50 employees),power bi ,django spark ,Availability, ,Time constraint, 
 ,Profile 44,18, ,Data Analyst,English ,Armenian,docker 5 ,angular 1 python 5 aws 4 c 3 , ,649 days,Part-time, , ,Antwerp 81.70938109304619, ,Food & Beverage,800, , ,Large (250+ employees),,django spark power bi ,Availability, ,Time constraint, 
 ,Profile 43,18,Data Analyst, ,English Armenian , ,,docker 5 angular 1 python 5 aws 4 c 3 , ,649 days, ,Part-time, ,Canary Wharf 227.75636570355053, ,Food & Beverage,850, , ,Small (10 - 50 employees),,django spark power bi ,Availability, ,Time constraint, 
 ,Profile 39,18, ,Data Analyst,English ,Armenian,python 5 ,docker 5 angular 1 aws 4 c 3 ,649 days, , ,Part-time, ,Canary Wharf 227.75636570355053, ,Food & Beverage,650, ,Medium (50-250 employees), ,,django spark power bi ,Availability, ,Time constraint, 
 ,Profile 20,18, ,Data Analyst,English ,Armenian,python 5 ,docker 5 angular 1 aws 4 c 3 , ,649 days,Part-time, , ,Woking 263.49329316441134, ,Food & Beverage,850, , ,Large (250+ employees),,django spark power bi ,Availability, ,Time constraint, 
 ,Profile 18,18, ,Data Analyst,English Armenian , ,,docker 5 angular 1 python 5 aws 4 c 3 , ,649 days,Part-time, , ,Hatfield 246.8754067996801, ,Food & Beverage,750, ,Medium (50-250 employees), ,,django spark power bi ,Availability, ,Time constraint, 
 ,Profile 17,18, ,Data Analyst,English ,Armenian,python 5 ,docker 5 angular 1 aws 4 c 3 , ,649 days, ,Part-time,Ghent 38.7907305227641, , ,Food & Beverage,950, , ,Micro (1-10 employees),,django spark power bi ,Availability, ,Time constraint, 
 ,Profile 9,17, ,Data Analyst,English ,Armenian,python 5 ,docker 5 angular 1 aws 4 c 3 , ,649 days, ,Part-time, ,Liege 175.98891633424842, ,Food & Beverage,750, ,Medium (50-250 employees), ,,django spark power bi ,Availability, ,Time constraint, 
 ,Profile 1,17, ,Data Analyst,English ,Armenian,python 5 ,docker 5 angular 1 aws 4 c 3 , ,649 days, ,Part-time, ,Antwerp 81.70938109304619, ,Food & Beverage,600, , ,Large (250+ employees),,django spark power bi ,Availability, ,Time constraint, 
 ,Profile 48,15,Data Analyst, ,English ,Armenian,,docker 5 angular 1 python 5 aws 4 c 3 ,649 days, ,Part-time, , ,Charleroi 123.10107321531274, ,Food & Beverage,750, , ,Small (10 - 50 employees),,django spark power bi ,Availability, ,Time constraint, 
 ,Profile 24,15,Data Analyst, ,English ,Armenian,,docker 5 angular 1 python 5 aws 4 c 3 , ,649 days,Part-time, , ,Liege 175.98891633424842, ,Food & Beverage,850, ,Medium (50-250 employees), ,spark ,django power bi ,Availability, ,Time constraint, 
 ,Profile 10,15,Data Analyst, ,English ,Armenian,,docker 5 angular 1 python 5 aws 4 c 3 , ,649 days,Part-time, ,Brugge 0.0, , ,Food & Beverage,950, ,Medium (50-250 employees), ,,django spark power bi ,Availability, ,Time constraint, 
 ,Profile 6,14, ,Data Analyst,English ,Armenian,,docker 5 angular 1 python 5 aws 4 c 3 , ,649 days,Part-time, ,Brugge 0.0, , ,Food & Beverage,700, , ,Small (10 - 50 employees),,django spark power bi ,Availability, ,Time constraint, 
 ,Profile 5,14, ,Data Analyst,English ,Armenian,,docker 5 angular 1 python 5 aws 4 c 3 ,649 days, , ,Part-time,Antwerp 81.70938109304619, , ,Food & Beverage,800, ,Medium (50-250 employees), ,,django spark power bi ,Availability, ,Time constraint, 
 ,Profile 46,14,Data Analyst, ,English ,Armenian,python 5 ,docker 5 angular 1 aws 4 c 3 ,649 days, , ,Part-time, ,Antwerp 81.70938109304619, ,Food & Beverage,950, , ,Small (10 - 50 employees),power bi ,django spark , ,Availability, ,Time constraint
 ,Profile 34,14,Data Analyst, ,English ,Armenian,,docker 5 angular 1 python 5 aws 4 c 3 , ,649 days,Part-time, , ,Watford 255.9660057627167, ,Food & Beverage,950, , ,Large (250+ employees),,django spark power bi ,Availability, ,Time constraint, 
 ,Profile 30,14, ,Data Analyst,English ,Armenian,,docker 5 angular 1 python 5 aws 4 c 3 ,649 days, ,Part-time, , ,Charleroi 123.10107321531274, ,Food & Beverage,750, , ,Micro (1-10 employees),,django spark power bi ,Availability, ,Time constraint, 
 ,Profile 3,14,Data Analyst, ,English ,Armenian,,docker 5 angular 1 python 5 aws 4 c 3 , ,649 days,Part-time, , ,Liege 175.98891633424842, ,Food & Beverage,850, ,Medium (50-250 employees), ,,django spark power bi ,Availability, ,Time constraint, 
 ,Profile 28,14, ,Data Analyst,English ,Armenian,,docker 5 angular 1 python 5 aws 4 c 3 ,649 days, ,Part-time, , ,Hatfield 246.8754067996801, ,Food & Beverage,750, , ,Large (250+ employees),,django spark power bi ,Availability, ,Time constraint, 
 ,Profile 26,14,Data Analyst, ,English ,Armenian,,docker 5 angular 1 python 5 aws 4 c 3 , ,649 days,Part-time, , ,Chertsey 5429.794781523047, ,Food & Beverage,950, , ,Small (10 - 50 employees),,django spark power bi ,Availability, ,Time constraint, 
 ,Profile 2,14, ,Data Analyst,English ,Armenian,python 5 ,docker 5 angular 1 aws 4 c 3 ,649 days, , ,Part-time,Brussels 88.37056774186073, , ,Food & Beverage,600, , ,Micro (1-10 employees),power bi ,django spark , ,Availability, ,Time constraint
 ,Profile 16,14, ,Data Analyst,English ,Armenian,,docker 5 angular 1 python 5 aws 4 c 3 ,649 days, , ,Part-time, ,Harlow 225.38855910016568,Food & Beverage, ,500, , ,Small (10 - 50 employees),,django spark power bi ,Availability, ,Time constraint, 
 ,Profile 49,13, ,Data Analyst,English ,Armenian,,docker 5 angular 1 python 5 aws 4 c 3 , ,649 days, ,Part-time, ,Hemel Hempstead 263.15851183330363, ,Food & Beverage,650, , ,Small (10 - 50 employees),django ,spark power bi ,Availability, ,Time constraint, 
 ,Profile 42,13,Data Analyst, ,English ,Armenian,,docker 5 angular 1 python 5 aws 4 c 3 , ,649 days, ,Part-time, ,Brentford 248.349551746449, ,Food & Beverage,650, , ,Large (250+ employees),,django spark power bi ,Availability, ,Time constraint, 
 ,Profile 41,13,Data Analyst, ,English ,Armenian,,docker 5 angular 1 python 5 aws 4 c 3 , ,649 days, ,Part-time, ,Liege 175.98891633424842, ,Food & Beverage,950, , ,Small (10 - 50 employees),,django spark power bi ,Availability, ,Time constraint, 
 ,Profile 37,13, ,Data Analyst,English ,Armenian,,docker 5 angular 1 python 5 aws 4 c 3 , ,649 days,Part-time, , ,Cheshunt 232.45272026099158, ,Food & Beverage,650, ,Medium (50-250 employees), ,,django spark power bi ,Availability, ,Time constraint, 
 ,Profile 36,13, ,Data Analyst,English ,Armenian,,docker 5 angular 1 python 5 aws 4 c 3 , ,649 days,Part-time, , ,Chertsey 5429.794781523047, ,Food & Beverage,550, ,Medium (50-250 employees), ,,django spark power bi ,Availability, ,Time constraint, 
 ,Profile 35,13, ,Data Analyst,English ,Armenian,,docker 5 angular 1 python 5 aws 4 c 3 , ,649 days,Part-time, , ,Namur 141.63195782030772, ,Food & Beverage,800, , ,Small (10 - 50 employees),,django spark power bi ,Availability, ,Time constraint, 
 ,Profile 33,13, ,Data Analyst,English ,Armenian,,docker 5 angular 1 python 5 aws 4 c 3 , ,649 days,Part-time, , ,Watford 255.9660057627167, ,Food & Beverage,500, , ,Small (10 - 50 employees),,django spark power bi ,Availability, ,Time constraint, 
 ,Profile 32,13, ,Data Analyst,English ,Armenian,,docker 5 angular 1 python 5 aws 4 c 3 , ,649 days,Part-time, , ,Brentford 248.349551746449, ,Food & Beverage,500, , ,Large (250+ employees),,django spark power bi ,Availability, ,Time constraint, 
 ,Profile 31,13,Data Analyst, ,English ,Armenian,,docker 5 angular 1 python 5 aws 4 c 3 , ,649 days, ,Part-time, ,Hatfield 246.8754067996801, ,Food & Beverage,600, , ,Micro (1-10 employees),,django spark power bi ,Availability, ,Time constraint, 
 ,Profile 27,13,Data Analyst, ,English ,Armenian,,docker 5 angular 1 python 5 aws 4 c 3 , ,649 days, ,Part-time, ,Slough 267.3864508057233, ,Food & Beverage,600, ,Medium (50-250 employees), ,,django spark power bi ,Availability, ,Time constraint, 
 ,Profile 25,13, ,Data Analyst,English ,Armenian,,docker 5 angular 1 python 5 aws 4 c 3 ,649 days, , ,Part-time, ,Liege 175.98891633424842, ,Food & Beverage,650, ,Medium (50-250 employees), ,,django spark power bi ,Availability, ,Time constraint, 
 ,Profile 23,13,Data Analyst, ,English ,Armenian,,docker 5 angular 1 python 5 aws 4 c 3 , ,649 days, ,Part-time, ,Hounslow 250.8963119572553, ,Food & Beverage,850, ,Medium (50-250 employees), ,,django spark power bi ,Availability, ,Time constraint, 
 ,Profile 22,13, ,Data Analyst,English ,Armenian,,docker 5 angular 1 python 5 aws 4 c 3 ,649 days, , ,Part-time, ,Slough 267.3864508057233, ,Food & Beverage,550, , ,Micro (1-10 employees),,django spark power bi ,Availability, ,Time constraint, 
 ,Profile 21,13, ,Data Analyst,English ,Armenian,angular 1 ,docker 5 python 5 aws 4 c 3 ,649 days, ,Part-time, , ,Hounslow 250.8963119572553, ,Food & Beverage,700, , ,Micro (1-10 employees),,django spark power bi , ,Availability, ,Time constraint
 ,Profile 14,13,Data Analyst, ,English ,Armenian,,docker 5 angular 1 python 5 aws 4 c 3 , ,649 days, ,Part-time, ,Brussels 88.37056774186073, ,Food & Beverage,650, ,Medium (50-250 employees), ,,django spark power bi ,Availability, ,Time constraint, 
 ,Profile 12,13, ,Data Analyst,English ,Armenian,,docker 5 angular 1 python 5 aws 4 c 3 ,649 days, , ,Part-time, ,Namur 141.63195782030772, ,Food & Beverage,700, , ,Large (250+ employees),,django spark power bi ,Availability, ,Time constraint, 
 ,Profile 11,12, ,Data Analyst,English ,Armenian,,docker 5 angular 1 python 5 aws 4 c 3 , ,649 days, ,Part-time, ,London 235.25361430274532, ,Food & Beverage,850, ,Medium (50-250 employees), ,,django spark power bi ,Availability, ,Time constraint, 
 ,Profile 13,11, ,Data Analyst,English ,Armenian,,docker 5 angular 1 python 5 aws 4 c 3 , ,649 days, ,Part-time, ,Canary Wharf 227.75636570355053, ,Food & Beverage, ,1000,Medium (50-250 employees), ,,django spark power bi ,Availability, ,Time constraint, 
 ,Profile 8,8, ,Data Analyst,English ,Armenian,,docker 5 angular 1 python 5 aws 4 c 3 ,649 days, , ,Part-time, ,Harlow 225.38855910016568,Food & Beverage, ,950, ,Medium (50-250 employees), ,,django spark power bi , ,Availability, ,Time constraint
 ,Profile 50,8,Data Analyst, ,English ,Armenian,,docker 5 angular 1 python 5 aws 4 c 3 ,649 days, , ,Part-time, ,Cheshunt 232.45272026099158, ,Food & Beverage,900, ,Medium (50-250 employees), ,,django spark power bi , ,Availability, ,Time constraint
 ,Profile 45,8, ,Data Analyst,English ,Armenian,,docker 5 angular 1 python 5 aws 4 c 3 ,649 days, ,Part-time, , ,Harlow 225.38855910016568, ,Food & Beverage,750, , ,Large (250+ employees),,django spark power bi , ,Availability, ,Time constraint
 ,Profile 40,8, ,Data Analyst,English ,Armenian,,docker 5 angular 1 python 5 aws 4 c 3 ,649 days, , ,Part-time,Brussels 88.37056774186073, , ,Food & Beverage,650, ,Medium (50-250 employees), ,,django spark power bi , ,Availability, ,Time constraint
 ,Profile 4,8, ,Data Analyst,English ,Armenian,,docker 5 angular 1 python 5 aws 4 c 3 , ,649 days,Part-time, , ,Woking 263.49329316441134, ,Food & Beverage,700, , ,Large (250+ employees),power bi ,django spark , ,Availability, ,Time constraint
 ,Profile 38,8,Data Analyst, ,English ,Armenian,,docker 5 angular 1 python 5 aws 4 c 3 , ,649 days,Part-time, , ,City of Westminster 235.7779190140996, ,Food & Beverage,600, , ,Micro (1-10 employees),,django spark power bi , ,Availability, ,Time constraint
 ,Profile 19,5, ,Data Analyst,English ,Armenian,,docker 5 angular 1 python 5 aws 4 c 3 , ,649 days, ,Part-time, ,Charleroi 123.10107321531274, ,Food & Beverage, ,1000, ,Micro (1-10 employees),,django spark power bi , ,Availability, ,Time constraint
Job desc 5,Profile 8,20,Artificial Intelligence Engineer, ,English ,Slovenian,business intelligence 3 ,sql 4 django 5 spark 2 javascript 3 ,551 days, ,Full-time, ,Remote, , ,Technology, ,950, ,Medium (50-250 employees),,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 12,20, ,Artificial Intelligence Engineer,English ,Slovenian,javascript 3 ,sql 4 django 5 spark 2 business intelligence 3 ,551 days, ,Full-time, ,Remote, , ,Technology, ,700, ,Large (250+ employees),data mining ,python talend ,Availability, ,Time constraint, 
 ,Profile 1,20, ,Artificial Intelligence Engineer,English ,Slovenian,sql 4 ,django 5 spark 2 javascript 3 business intelligence 3 , ,551 days,Full-time, ,Remote, , ,Technology,600, , ,Large (250+ employees),python ,data mining talend ,Availability, ,Time constraint, 
 ,Profile 15,19, ,Artificial Intelligence Engineer,English ,Slovenian,sql 4 ,django 5 spark 2 javascript 3 business intelligence 3 ,551 days, , ,Full-time,Remote, , ,Technology,550, , ,Large (250+ employees),,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 48,18, ,Artificial Intelligence Engineer,English ,Slovenian,javascript 3 ,sql 4 django 5 spark 2 business intelligence 3 ,551 days, , ,Full-time,Remote, , ,Technology, ,750, ,Small (10 - 50 employees),,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 24,18,Artificial Intelligence Engineer, ,English ,Slovenian,spark 2 ,sql 4 django 5 javascript 3 business intelligence 3 , ,551 days, ,Full-time,Remote, , ,Technology, ,850, ,Medium (50-250 employees),,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 13,18, ,Artificial Intelligence Engineer,English ,Slovenian,spark 2 ,sql 4 django 5 javascript 3 business intelligence 3 , ,551 days,Full-time, ,Remote, , ,Technology, ,1000, ,Medium (50-250 employees),,data mining python talend ,Availability, ,Time constraint, 
 ,Profile 35,17, ,Artificial Intelligence Engineer,English ,Slovenian,sql 4 ,django 5 spark 2 javascript 3 business intelligence 3 , ,551 days, ,Full-time,Remote, , ,Technology, ,800, ,Small (10 - 50 employees),,data mining python talend ,Availability, ,Time constraint, 
